# Week 2 crawl of live Wikipedia, 2026-09-08. Edge A -> B when the article of A links to the article of B; both in data/week2_nodes.tsv. 602 nodes, 4082 edges.
source	target
Abomination_(character)	Beyonder
Abomination_(character)	Deathlok
Abomination_(character)	Gargoyle_(comics)
Abomination_(character)	Hercules_(Marvel_Comics)
Abomination_(character)	Hulk
Abomination_(character)	Jessica_Jones
Abomination_(character)	Kristoff_Vernard
Abomination_(character)	Leader_(character)
Abomination_(character)	Red_Hulk
Abomination_(character)	She-Hulk
Abomination_(character)	Spider-Man
Abomination_(character)	Thunderbolt_Ross
Abraham_Cornelius	Wolverine_(character)
Absorbing_Man	Black_Bolt
Absorbing_Man	Ethan_Edwards
Absorbing_Man	Hulk
Absorbing_Man	Karnak_(character)
Absorbing_Man	Machine_Man
Absorbing_Man	Norman_Osborn
Absorbing_Man	Puck_(Marvel_Comics)
Absorbing_Man	Quasar_(character)
Absorbing_Man	Scarlet_Witch
Absorbing_Man	Sentry_(Robert_Reynolds)
Absorbing_Man	Spider-Man
Absorbing_Man	War_Machine
Absorbing_Man	Wolverine_(character)
Adam_Warlock	Black_Panther_(character)
Adam_Warlock	Black_Widow_(Natasha_Romanova)
Adam_Warlock	Bullseye_(Marvel_Comics)
Adam_Warlock	Devil_Dinosaur
Adam_Warlock	Doctor_Strange
Adam_Warlock	Emma_Frost
Adam_Warlock	Fin_Fang_Foom
Adam_Warlock	Genis-Vell
Adam_Warlock	Ghost_Rider
Adam_Warlock	Gladiator_(Kallark)
Adam_Warlock	Hulk
Adam_Warlock	Human_Torch
Adam_Warlock	Iron_Lad
Adam_Warlock	Kismet_(Marvel_Comics)
Adam_Warlock	Man-Thing
Adam_Warlock	Moon_Knight
Adam_Warlock	Moondragon
Adam_Warlock	Phyla-Vell
Adam_Warlock	Quasar_(character)
Adam_Warlock	Scarlet_Witch
Adam_Warlock	She-Hulk
Adam_Warlock	Spider-Man
Adam_Warlock	Spot_(Marvel_Comics)
Adam_Warlock	Star-Lord
Adam_Warlock	Thanos
Adam_Warlock	Tombstone_(character)
Adam_Warlock	Ultron
Agent_X_(Marvel_Comics)	Bob,_Agent_of_Hydra
Agent_X_(Marvel_Comics)	Cable_(character)
Agent_X_(Marvel_Comics)	Outlaw_(Marvel_Comics)
Ajak	Hercules_(Marvel_Comics)
Ajak	Ikaris
Ajak	Kro_(character)
Ajak	Makkari_(character)
Ajak	Thena
Alex_Wilder	Chase_Stein
Alexander_Bont	Gladiator_(Melvin_Potter)
Anne_Weying	Deadpool
Anne_Weying	Eddie_Brock
Anne_Weying	Shriek_(character)
Anne_Weying	Spider-Man
Anne_Weying	Venom_(character)
Anole_(character)	Cyclops_(Marvel_Comics)
Anole_(character)	Emma_Frost
Anole_(character)	Glob_Herman
Anole_(character)	Hellion_(character)
Anole_(character)	Hulkling
Anole_(character)	Northstar_(character)
Anole_(character)	Rockslide_(character)
Answer_(comics)	Black_Cat_(Marvel_Comics)
Answer_(comics)	Cloak_and_Dagger_(characters)
Answer_(comics)	Doctor_Strange
Answer_(comics)	Farley_Stillwell
Answer_(comics)	Hobgoblin_(Marvel_Comics)
Answer_(comics)	Silvermane
Answer_(comics)	Spider-Man
Anya_Corazon	Doomsday_Man
Anya_Corazon	Dusk_(comics)
Anya_Corazon	Hobgoblin_(Marvel_Comics)
Anya_Corazon	Hydro-Man
Anya_Corazon	Jackal_(Marvel_Comics_character)
Anya_Corazon	Machine_Man
Anya_Corazon	Mayday_Parker
Anya_Corazon	Ms._Marvel
Anya_Corazon	Phil_Urich
Anya_Corazon	Power_Man_(Victor_Alvarez)
Anya_Corazon	Puppet_Master_(Marvel_Comics)
Anya_Corazon	Rikki_Barnes
Anya_Corazon	Screwball_(character)
Anya_Corazon	Spider-Girl
Anya_Corazon	Spider-Man
Anya_Corazon	Spider-Man_Noir
Anya_Corazon	Spider-Woman_(Gwen_Stacy)
Anya_Corazon	Spider-Woman_(Jessica_Drew)
Anya_Corazon	Thunderbolt_Ross
Apocalypse_(character)	Absorbing_Man
Apocalypse_(character)	Betsy_Braddock
Apocalypse_(character)	Black_Bolt
Apocalypse_(character)	Cable_(character)
Apocalypse_(character)	Cyclops_(Marvel_Comics)
Apocalypse_(character)	Deathlok
Apocalypse_(character)	Dracula_(Marvel_Comics)
Apocalypse_(character)	Franklin_Richards_(character)
Apocalypse_(character)	Hulk
Apocalypse_(character)	Ikaris
Apocalypse_(character)	Jean_Grey
Apocalypse_(character)	Living_Monolith
Apocalypse_(character)	Mister_Sinister
Apocalypse_(character)	Moon_Knight
Apocalypse_(character)	Phoenix_Force
Apocalypse_(character)	Storm_(Marvel_Comics)
Apocalypse_(character)	Vulcan_(Marvel_Comics)
Apocalypse_(character)	War_(Marvel_Comics)
Apocalypse_(character)	Wolverine_(character)
Arabian_Knight_(character)	Black_Panther_(character)
Arabian_Knight_(character)	Hulk
Arabian_Knight_(character)	Humus_Sapien
Arabian_Knight_(character)	Machine_Man
Arabian_Knight_(character)	Sabra_(character)
Arabian_Knight_(character)	She-Hulk
Arabian_Knight_(character)	Storm_(Marvel_Comics)
Arabian_Knight_(character)	Thunderbolt_Ross
Arabian_Knight_(character)	Union_Jack_(Joseph_Chapman)
Arabian_Knight_(character)	Union_Jack_(Marvel_Comics)
Ares_(Marvel_Comics)	Balder_the_Brave
Ares_(Marvel_Comics)	Black_Knight_(Marvel_Comics)
Ares_(Marvel_Comics)	Danger_Room
Ares_(Marvel_Comics)	Hercules_(Marvel_Comics)
Ares_(Marvel_Comics)	Ikaris
Ares_(Marvel_Comics)	Mac_Gargan
Ares_(Marvel_Comics)	Maestro_(character)
Ares_(Marvel_Comics)	Norman_Osborn
Ares_(Marvel_Comics)	Outlaw_(Marvel_Comics)
Ares_(Marvel_Comics)	Sentry_(Robert_Reynolds)
Ares_(Marvel_Comics)	Shang-Chi
Aries_(character)	Black_Panther_(character)
Aries_(character)	Libra_(Marvel_Comics)
Aries_(character)	Mister_Sinister
Aries_(character)	Moon_Knight
Aries_(character)	Quicksilver_(Marvel_Comics)
Aries_(character)	Scorpio_(Marvel_Comics)
Aries_(character)	Taurus_(Marvel_Comics)
Aries_(character)	Thanos
Aries_(character)	War_Machine
Attuma	Hulk
Attuma	Llyra
Attuma	Orka_(character)
