# Week 2 crawl of live Wikipedia, 2026-09-08. Heroes = the frozen week-1 roster, villains = Category:Marvel Comics supervillains (no redirects, lists, teams or disambiguation pages).
# side: hero | villain | both. debut_year from the infobox, blank when not found.
node_id	name	side	debut_year	url
Abomination_(character)	Abomination (character)	hero	1967	https://en.wikipedia.org/wiki/Abomination_%28character%29
Abraham_Cornelius	Abraham Cornelius	villain	1991	https://en.wikipedia.org/wiki/Abraham_Cornelius
Absorbing_Man	Absorbing Man	villain	1965	https://en.wikipedia.org/wiki/Absorbing_Man
Adam_Warlock	Adam Warlock	hero	1967	https://en.wikipedia.org/wiki/Adam_Warlock
Agent_X_(Marvel_Comics)	Agent X (Marvel Comics)	hero	2002	https://en.wikipedia.org/wiki/Agent_X_%28Marvel_Comics%29
Ajak	Ajak	hero	1976	https://en.wikipedia.org/wiki/Ajak
Alex_Wilder	Alex Wilder	both	2003	https://en.wikipedia.org/wiki/Alex_Wilder
Alexander_Bont	Alexander Bont	villain	2004	https://en.wikipedia.org/wiki/Alexander_Bont
Anne_Weying	Anne Weying	hero	1993	https://en.wikipedia.org/wiki/Anne_Weying
Anole_(character)	Anole (character)	hero	2003	https://en.wikipedia.org/wiki/Anole_%28character%29
Answer_(comics)	Answer (comics)	villain	1984	https://en.wikipedia.org/wiki/Answer_%28comics%29
Anya_Corazon	Anya Corazon	hero	2004	https://en.wikipedia.org/wiki/Anya_Corazon
Apocalypse_(character)	Apocalypse (character)	villain	1985	https://en.wikipedia.org/wiki/Apocalypse_%28character%29
Arabian_Knight_(character)	Arabian Knight (character)	hero	1981	https://en.wikipedia.org/wiki/Arabian_Knight_%28character%29
Ares_(Marvel_Comics)	Ares (Marvel Comics)	both	1966	https://en.wikipedia.org/wiki/Ares_%28Marvel_Comics%29
Aries_(character)	Aries (character)	villain	1970	https://en.wikipedia.org/wiki/Aries_%28character%29
Attuma	Attuma	villain	1964	https://en.wikipedia.org/wiki/Attuma
Awesome_Android	Awesome Android	villain	1963	https://en.wikipedia.org/wiki/Awesome_Android
Backhand_(character)	Backhand (character)	hero	1987	https://en.wikipedia.org/wiki/Backhand_%28character%29
Balder_the_Brave	Balder the Brave	hero	1962	https://en.wikipedia.org/wiki/Balder_the_Brave
Barney_Barton	Barney Barton	villain	1969	https://en.wikipedia.org/wiki/Barney_Barton
Baron_Brimstone	Baron Brimstone	villain	1980	https://en.wikipedia.org/wiki/Baron_Brimstone
Baron_Strucker	Baron Strucker	villain	1964	https://en.wikipedia.org/wiki/Baron_Strucker
Baron_Von_Blitzschlag	Baron Von Blitzschlag	villain	2007	https://en.wikipedia.org/wiki/Baron_Von_Blitzschlag
Batroc_the_Leaper	Batroc the Leaper	villain	1966	https://en.wikipedia.org/wiki/Batroc_the_Leaper
Battlestar_(character)	Battlestar (character)	hero	1986	https://en.wikipedia.org/wiki/Battlestar_%28character%29
Batwing_(Marvel_Comics)	Batwing (Marvel Comics)	villain	1995	https://en.wikipedia.org/wiki/Batwing_%28Marvel_Comics%29
Baymax	Baymax	hero	1998	https://en.wikipedia.org/wiki/Baymax
Beta_Ray_Bill	Beta Ray Bill	hero	1983	https://en.wikipedia.org/wiki/Beta_Ray_Bill
Betsy_Braddock	Betsy Braddock	hero	1976	https://en.wikipedia.org/wiki/Betsy_Braddock
Beyonder	Beyonder	villain	1984	https://en.wikipedia.org/wiki/Beyonder
Bi-Beast	Bi-Beast	villain	1973	https://en.wikipedia.org/wiki/Bi-Beast
Bill_Foster_(character)	Bill Foster (character)	hero	1966	https://en.wikipedia.org/wiki/Bill_Foster_%28character%29
Bird-Brain_(Marvel_Comics)	Bird-Brain (Marvel Comics)	hero	1987	https://en.wikipedia.org/wiki/Bird-Brain_%28Marvel_Comics%29
Birdy_(character)	Birdy (character)	villain	1992	https://en.wikipedia.org/wiki/Birdy_%28character%29
Black_Bolt	Black Bolt	hero	1965	https://en.wikipedia.org/wiki/Black_Bolt
Black_Cat_(Marvel_Comics)	Black Cat (Marvel Comics)	both	1979	https://en.wikipedia.org/wiki/Black_Cat_%28Marvel_Comics%29
Black_Fox_(Robert_Paine)	Black Fox (Robert Paine)	hero	2000	https://en.wikipedia.org/wiki/Black_Fox_%28Robert_Paine%29
Black_Jack_Tarr	Black Jack Tarr	hero	1974	https://en.wikipedia.org/wiki/Black_Jack_Tarr
Black_Knight_(Marvel_Comics)	Black Knight (Marvel Comics)	both		https://en.wikipedia.org/wiki/Black_Knight_%28Marvel_Comics%29
Black_Knight_(Nathan_Garrett)	Black Knight (Nathan Garrett)	villain	1964	https://en.wikipedia.org/wiki/Black_Knight_%28Nathan_Garrett%29
Black_Mariah	Black Mariah	villain	1973	https://en.wikipedia.org/wiki/Black_Mariah
Black_Marvel	Black Marvel	hero	1941	https://en.wikipedia.org/wiki/Black_Marvel
Black_Panther_(character)	Black Panther (character)	hero	1966	https://en.wikipedia.org/wiki/Black_Panther_%28character%29
Black_Rider_(character)	Black Rider (character)	hero	1948	https://en.wikipedia.org/wiki/Black_Rider_%28character%29
Black_Spectre	Black Spectre	villain	1982	https://en.wikipedia.org/wiki/Black_Spectre
Black_Talon_(comics)	Black Talon (comics)	villain	1974	https://en.wikipedia.org/wiki/Black_Talon_%28comics%29
Black_Widow_(Natasha_Romanova)	Black Widow (Natasha Romanova)	hero	1964	https://en.wikipedia.org/wiki/Black_Widow_%28Natasha_Romanova%29
Blackthorn_(character)	Blackthorn (character)	hero	1986	https://en.wikipedia.org/wiki/Blackthorn_%28character%29
Blackwulf	Blackwulf	hero	1994	https://en.wikipedia.org/wiki/Blackwulf
Blade_(character)	Blade (character)	hero	1973	https://en.wikipedia.org/wiki/Blade_%28character%29
Blastaar	Blastaar	villain	1967	https://en.wikipedia.org/wiki/Blastaar
Blazing_Skull	Blazing Skull	hero	1941	https://en.wikipedia.org/wiki/Blazing_Skull
Blizzard_(Marvel_Comics)	Blizzard (Marvel Comics)	villain	1963	https://en.wikipedia.org/wiki/Blizzard_%28Marvel_Comics%29
Blood_Brothers_(comics)	Blood Brothers (comics)	villain	1973	https://en.wikipedia.org/wiki/Blood_Brothers_%28comics%29
Blood_Spider_(character)	Blood Spider (character)	villain		https://en.wikipedia.org/wiki/Blood_Spider_%28character%29
Blue_Bullet	Blue Bullet	hero	1976	https://en.wikipedia.org/wiki/Blue_Bullet
Blue_Diamond_(character)	Blue Diamond (character)	hero	1941	https://en.wikipedia.org/wiki/Blue_Diamond_%28character%29
Blue_Eagle_(character)	Blue Eagle (character)	hero	1971	https://en.wikipedia.org/wiki/Blue_Eagle_%28character%29
Blue_Marvel	Blue Marvel	hero	2008	https://en.wikipedia.org/wiki/Blue_Marvel
Bob,_Agent_of_Hydra	Bob, Agent of Hydra	hero	2007	https://en.wikipedia.org/wiki/Bob%2C_Agent_of_Hydra
Bonebreaker	Bonebreaker	villain	1988	https://en.wikipedia.org/wiki/Bonebreaker
Box_(comics)	Box (comics)	hero	1983	https://en.wikipedia.org/wiki/Box_%28comics%29
Brain_Drain_(character)	Brain Drain (character)	both	1975	https://en.wikipedia.org/wiki/Brain_Drain_%28character%29
